,MonthYear,Count
0,201703,13
1,201604,2
2,201805,12
3,201611,13
4,201706,8
5,201602,5
6,201607,14
7,202012,2
8,202001,1
9,201906,1
10,201605,11
11,201702,5
12,201507,3
13,201910,1
14,201601,2
15,201701,6
16,201811,7
17,201608,8
18,201510,9
19,201809,9
20,201904,3
21,201808,6
22,201612,11
23,201905,1
24,201603,8
25,201712,4
26,202005,2
27,201710,7
28,201709,12
29,201506,8
30,201909,4
31,201912,1
32,202004,1
33,201705,10
34,201804,15
35,201509,18
36,202009,3
37,202010,3
38,201508,7
39,201708,4
40,201505,9
41,202007,4
42,201610,10
43,201606,22
44,201503,1
45,201903,3
46,202006,2
47,201907,1
48,201707,13
49,201806,14
50,201711,8
51,201812,9
52,201803,84
53,201801,7
54,201902,7
55,201802,14
56,202002,1
57,201807,4
58,201810,3
59,201512,6
60,201504,1
61,201704,10
62,201502,2
63,201609,28
